Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
SVM,0.7142857142857143,1.0,0.42857142857142855,0.6,0.8903061224489796,0.8946798483839615
RandomForest,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8903061224489796,0.8850623990855084
LogisticRegression,0.6785714285714286,1.0,0.35714285714285715,0.5263157894736842,0.8086734693877551,0.8730946551114617
XGBoost,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8698979591836734,0.8486961285557039
